State,Density,Pop,LandArea,cars_registered,trucks_registered,Precipitation,Freeze_Thaw_Cycles,Snowfall
AL,96.7173,4898246,50645,2065463,2872743.275,3.81,45.20879413,8.190850288
AK,1.2893,735720,570641,173487,591079.2184,0,81,53.4
AZ,64.0445,7275070,113594,2391624,3399703.687,0.86,34.63500495,7.436029897
AR,58.1611,3026412,52035,926789,1805509.597,3.48,63.00048782,17.8766669
CA,255.1516,39747267,155779,14860967,14991713.53,1.58,17.18913649,13.07886502
CO,55.6777,5770545,103642,1785058,3271595.227,1.3,137.9581056,73.95295474
CT,736.8589,3567871,4842,1302339,1422502.027,3.44,91.81561075,54.23710711
DE,500.2735,975033,1949,419199,519961.3927,3.1,77.25013722,28.1000183
DC,11665.0984,711571,61,208141,128699.966,3.02,81.11906816,29.02329594
FL,403.6579,21646155,53625,7778493,8534913.248,3.67,5.564338097,0.315281806
GA,184.789,10627767,57513,3536055,4665930.197,3.39,43.04102392,7.376503594
HI,220.5494,1416589,6423,512386,708545.8841,0,81,53.4
ID,21.6616,1790182,82643,550006,1218729.627,1.68,118.8401416,106.4504198
IL,228.7574,12700381,55519,4655844,5866613.923,2.76,89.99398648,56.13171049
IN,187.5346,6718616,35826,2261440,3637290.375,2.97,90.19727288,58.88593443
IA,56.7162,3167997,55857,1268996,2277193.983,2.38,95.65483862,73.04925686
KS,35.6038,2910931,81759,987259,1628493.666,2.05,94.56741526,38.76296768
KY,113.5604,4484047,39486,1691085,2490197.505,3.34,84.07771822,39.01185731
LA,107.6887,4652581,43204,1389436,2374552.402,4.02,22.18402852,3.924410615
ME,43.5138,1342097,30843,387233,651349.3642,3.12,86.74734845,88.11497071
MD,624.5923,6062917,9707,2006904,2209445.212,3.08,84.88740783,35.78353285
MA,889.6632,6939373,7800,2208468,2674324.285,3.36,91.06547913,64.58213655
MI,177.2312,10020472,56539,3257473,4993400.461,2.32,85.53423824,95.44232793
MN,71.0302,5655925,79627,2146187,3274929.561,1.89,86.44650738,99.21290057
MS,63.6766,2987895,46923,822864,1198469.571,3.95,41.6931135,8.004239509
MO,89.4338,6147861,68742,2141050,3262212.05,3,89.43500069,43.60330064
MT,7.3828,1074532,145546,441392,1111168.745,1.29,124.3357292,120.6477621
NE,25.2645,1940919,76824,677040,1218764.637,1.68,106.3331367,57.05459296
NV,28.1198,3087025,109781,1047508,1328704.272,0.71,80.09582894,34.89246614
NH,152.3346,1363852,8953,505381,732066.647,3.25,91.5943141,95.38369267
NJ,1213.2917,8922547,7354,2798699,3080935.74,3.29,89.01935323,42.44318137
NM,17.28,2096034,121298,609494,1066511.825,1.01,116.4344764,33.17636633
NY,413.6005,19491339,47126,4563035,5821795.712,2.98,90.50374059,95.90109013
NC,215.9229,10497741,48618,3317918,4531463.42,3.35,70.22621043,21.31883817
ND,11.0274,760900,69001,276545,724941.4319,1.28,93.5253062,101.6574232
OH,286.791,11718568,40861,4605459,5752346.189,2.71,91.56838806,69.11462327
OK,57.5691,3948950,68595,1337624,2267209.469,2.49,70.07564665,20.97478407
OR,44.2337,4245901,95988,1542461,2400560.6,2.24,69.78931234,56.83522009
PA,286.3905,12813969,44743,4463267,5792845.749,2.98,97.70141251,74.2019751
RI,1021.9903,1056738,1034,420313,419313.782,3.44,85.32304318,45.3011471
SC,171.2222,5147111,30061,1808401,2459838.614,3.28,47.69795614,10.04246328
SD,11.7744,892631,75811,353180,785101.4636,1.42,105.8140748,79.17195772
TN,165.728,6833793,41235,2325004,3280359.426,3.55,72.99662053,27.34074487
TX,111.3457,29087070,261232,8176879,13522053,1.94,28.25430074,6.852890775
UT,39.2066,3221610,82170,925052,1340619.059,0.97,124.0449407,77.41046266
VT,68.046,627180,9217,221936,367647.066,3.15,90.36694115,120.5008443
VA,217.0662,8571946,39490,3251339,4034926.127,3.03,86.97010845,33.61014144
WA,115.3597,7666343,66456,2925765,4075464.371,2.91,75.30189471,74.70942101
WV,74.5466,1791951,24038,562984,1064328.921,3.08,93.47183711,66.21268851
WI,107.6971,5832661,54158,2092584,3163814.336,2.31,86.46085183,96.70706463
WY,5.8952,572381,97093,193523,592554.9635,1.14,133.9993744,106.2012697
